# Time(fs) Population Fitted_Population
5.600000000000000000e+02 2.559799999999999229e-02 1.598684160728197634e-02
5.610000000000000000e+02 2.561399999999999441e-02 1.587396953114075457e-02
5.620000000000000000e+02 2.539599999999999497e-02 1.576189436697785634e-02
5.630000000000000000e+02 2.537000000000000019e-02 1.565061048834675769e-02
5.640000000000000000e+02 2.462399999999999659e-02 1.554011230852537541e-02
5.650000000000000000e+02 2.462799999999999365e-02 1.543039428023566285e-02
5.660000000000000000e+02 2.409799999999999789e-02 1.532145089536503246e-02
5.670000000000000000e+02 2.398400000000000185e-02 1.521327668468991888e-02
5.680000000000000000e+02 2.405999999999999805e-02 1.510586621760119132e-02
5.690000000000000000e+02 2.396600000000000119e-02 1.499921410183145502e-02
5.700000000000000000e+02 2.384999999999999620e-02 1.489331498318445697e-02
5.710000000000000000e+02 2.312799999999999578e-02 1.478816354526618637e-02
5.720000000000000000e+02 2.508799999999999919e-02 1.468375450921807247e-02
5.730000000000000000e+02 2.445400000000000351e-02 1.458008263345191360e-02
5.740000000000000000e+02 2.443000000000000380e-02 1.447714271338672830e-02
5.750000000000000000e+02 2.405600000000000099e-02 1.437492958118753890e-02
5.760000000000000000e+02 2.365400000000000141e-02 1.427343810550583958e-02
5.770000000000000000e+02 2.318600000000000522e-02 1.417266319122208879e-02
5.780000000000000000e+02 2.316200000000000203e-02 1.407259977918986008e-02
5.790000000000000000e+02 2.432600000000000387e-02 1.397324284598184911e-02
5.800000000000000000e+02 2.425800000000000525e-02 1.387458740363775762e-02
5.810000000000000000e+02 2.422199999999999701e-02 1.377662849941378720e-02
5.820000000000000000e+02 2.424199999999999619e-02 1.367936121553408983e-02
5.830000000000000000e+02 2.402199999999999822e-02 1.358278066894384566e-02
5.840000000000000000e+02 2.385800000000000073e-02 1.348688201106408580e-02
5.850000000000000000e+02 2.387999999999999845e-02 1.339166042754836271e-02
5.860000000000000000e+02 2.437800000000000036e-02 1.329711113804097136e-02
5.870000000000000000e+02 2.386599999999999486e-02 1.320322939593703525e-02
5.880000000000000000e+02 2.365399999999999447e-02 1.311001048814418486e-02
5.890000000000000000e+02 2.517599999999999352e-02 1.301744973484591540e-02
5.900000000000000000e+02 2.500799999999999551e-02 1.292554248926673297e-02
5.910000000000000000e+02 2.627399999999999874e-02 1.283428413743877353e-02
5.920000000000000000e+02 2.648599999999999566e-02 1.274367009797026939e-02
5.930000000000000000e+02 2.622800000000000825e-02 1.265369582181545896e-02
5.940000000000000000e+02 2.589600000000000235e-02 1.256435679204629188e-02
5.950000000000000000e+02 2.548800000000000371e-02 1.247564852362564002e-02
5.960000000000000000e+02 2.536000000000000060e-02 1.238756656318209040e-02
5.970000000000000000e+02 2.568399999999999850e-02 1.230010648878647125e-02
5.980000000000000000e+02 2.550399999999999889e-02 1.221326390972976052e-02
5.990000000000000000e+02 2.532999999999999835e-02 1.212703446630273435e-02
6.000000000000000000e+02 2.496200000000000849e-02 1.204141382957707972e-02
6.010000000000000000e+02 2.504200000000000523e-02 1.195639770118803180e-02
6.020000000000000000e+02 2.491800000000000612e-02 1.187198181311865594e-02
6.030000000000000000e+02 2.466800000000000589e-02 1.178816192748550866e-02
6.040000000000000000e+02 2.455600000000000491e-02 1.170493383632595016e-02
6.050000000000000000e+02 2.460600000000000634e-02 1.162229336138686890e-02
6.060000000000000000e+02 2.288200000000000303e-02 1.154023635391488410e-02
6.070000000000000000e+02 2.224199999999999788e-02 1.145875869444815294e-02
6.080000000000000000e+02 2.242599999999999455e-02 1.137785629260947007e-02
6.090000000000000000e+02 2.111599999999999241e-02 1.129752508690099431e-02
6.100000000000000000e+02 2.216599999999999820e-02 1.121776104450032847e-02
6.110000000000000000e+02 2.192600000000000451e-02 1.113856016105802156e-02
6.120000000000000000e+02 2.251600000000000129e-02 1.105991846049661845e-02
6.130000000000000000e+02 2.078799999999999745e-02 1.098183199481096717e-02
6.140000000000000000e+02 2.191399999999999251e-02 1.090429684387009095e-02
6.150000000000000000e+02 2.198999999999999566e-02 1.082730911522035780e-02
6.160000000000000000e+02 2.204799999999999816e-02 1.075086494389003618e-02
6.170000000000000000e+02 2.170599999999999960e-02 1.067496049219534074e-02
6.180000000000000000e+02 2.144200000000000272e-02 1.059959194954768896e-02
6.190000000000000000e+02 2.131199999999999414e-02 1.052475553226246696e-02
6.200000000000000000e+02 2.140999999999999848e-02 1.045044748336905124e-02
6.210000000000000000e+02 2.104999999999999580e-02 1.037666407242217315e-02
6.220000000000000000e+02 2.095199999999999840e-02 1.030340159531470401e-02
6.230000000000000000e+02 2.101999999999999355e-02 1.023065637409162690e-02
