# Time(fs) Normalized_Population Fitted_Population
2.800000000000000000e+01 7.675680851063827470e-01 8.003771422797548718e-01
2.900000000000000000e+01 7.498361702127659401e-01 7.940373215591414180e-01
3.000000000000000000e+01 7.428914893617020176e-01 7.877477188228335647e-01
3.100000000000000000e+01 7.250361702127662289e-01 7.815079362920832606e-01
3.200000000000000000e+01 7.179425531914892522e-01 7.753175793389650572e-01
3.300000000000000000e+01 7.102148936170209481e-01 7.691762564614171849e-01
3.400000000000000000e+01 6.941276595744677591e-01 7.630835792584823585e-01
3.500000000000000000e+01 6.943702127659574508e-01 7.570391624057434266e-01
3.600000000000000000e+01 6.752680851063830314e-01 7.510426236309538650e-01
3.700000000000000000e+01 6.754468085106385411e-01 7.450935836898617826e-01
3.800000000000000000e+01 6.690936170212767875e-01 7.391916663422246625e-01
3.900000000000000000e+01 6.582319148936175424e-01 7.333364983280146188e-01
4.000000000000000000e+01 6.515468085106383977e-01 7.275277093438122789e-01
4.100000000000000000e+01 6.459000000000001407e-01 7.217649320193866291e-01
4.200000000000000000e+01 6.421000000000000041e-01 7.160478018944620437e-01
4.300000000000000000e+01 6.364851063829790601e-01 7.103759573956676121e-01
4.400000000000000000e+01 6.346382978723406065e-01 7.047490398136703194e-01
4.500000000000000000e+01 6.223382978723404069e-01 6.991666932804887491e-01
4.600000000000000000e+01 6.166595744680849478e-01 6.936285647469866422e-01
4.700000000000000000e+01 6.162765957446809661e-01 6.881343039605444245e-01
4.800000000000000000e+01 6.075531914893615992e-01 6.826835634429084809e-01
4.900000000000000000e+01 5.987765957446808951e-01 6.772759984682145129e-01
5.000000000000000000e+01 5.946446808510638116e-01 6.719112670411867549e-01
5.100000000000000000e+01 5.965170212765956714e-01 6.665890298755076104e-01
5.200000000000000000e+01 5.910425531914894615e-01 6.613089503723610374e-01
5.300000000000000000e+01 5.912787234042552464e-01 6.560706945991440220e-01
5.400000000000000000e+01 5.851255319148936929e-01 6.508739312683478051e-01
5.500000000000000000e+01 5.814255319148937673e-01 6.457183317166056424e-01
5.600000000000000000e+01 5.867531914893616696e-01 6.406035698839069870e-01
5.700000000000000000e+01 5.830468085106382814e-01 6.355293222929764285e-01
5.800000000000000000e+01 5.845255319148937589e-01 6.304952680288153921e-01
5.900000000000000000e+01 5.939042553191490326e-01 6.255010887184063728e-01
6.000000000000000000e+01 5.826595744680850286e-01 6.205464685105779310e-01
6.100000000000000000e+01 5.708468085106384038e-01 6.156310940560290046e-01
6.200000000000000000e+01 5.748127659574465698e-01 6.107546544875109840e-01
6.300000000000000000e+01 5.667744680851064532e-01 6.059168414001681047e-01
6.400000000000000000e+01 5.598382978723406289e-01 6.011173488320323832e-01
6.500000000000000000e+01 5.505255319148935067e-01 5.963558732446729849e-01
6.600000000000000000e+01 5.505425531914892590e-01 5.916321135039999124e-01
6.700000000000000000e+01 5.339893617021277405e-01 5.869457708612185742e-01
6.800000000000000000e+01 5.279042553191490850e-01 5.822965489339365641e-01
6.900000000000000000e+01 5.160404255319145372e-01 5.776841536874182115e-01
7.000000000000000000e+01 5.123021276595742801e-01 5.731082934159895670e-01
7.100000000000000000e+01 4.943234042553190655e-01 5.685686787245893825e-01
7.200000000000000000e+01 4.907999999999998475e-01 5.640650225104666404e-01
7.300000000000000000e+01 4.879638297872340158e-01 5.595970399450235222e-01
7.400000000000000000e+01 4.878468085106384411e-01 5.551644484558010406e-01
7.500000000000000000e+01 4.827872340425530262e-01 5.507669677086087789e-01
7.600000000000000000e+01 4.833914893617021757e-01 5.464043195897947403e-01
7.700000000000000000e+01 4.744063829787235065e-01 5.420762281886571943e-01
7.800000000000000000e+01 4.554148936170211992e-01 5.377824197799943029e-01
7.900000000000000000e+01 4.578978723404256712e-01 5.335226228067929677e-01
8.000000000000000000e+01 4.569000000000001949e-01 5.292965678630545678e-01
8.100000000000000000e+01 4.503148936170213723e-01 5.251039876767567005e-01
8.200000000000000000e+01 4.417170212765957338e-01 5.209446170929498132e-01
8.300000000000000000e+01 4.358893617021276645e-01 5.168181930569876181e-01
8.400000000000000000e+01 4.362680851063830967e-01 5.127244545978907331e-01
8.500000000000000000e+01 4.324680851063831821e-01 5.086631428118417730e-01
8.600000000000000000e+01 4.356148936170213259e-01 5.046340008458113369e-01
8.700000000000000000e+01 4.237829787234042023e-01 5.006367738813135571e-01
8.800000000000000000e+01 4.238574468085105074e-01 4.966712091182903244e-01
8.900000000000000000e+01 4.274872340425532324e-01 4.927370557591234101e-01
9.000000000000000000e+01 4.284617021276593829e-01 4.888340649927730985e-01
