#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  60 160
# Band-Index:    1
   0.84814    -62.288032  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.82634    -62.288491  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.80454    -62.288869  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.78275    -62.289164  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.76095    -62.289376  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.73915    -62.289502  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.71735    -62.289540  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.71735    -62.289540  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.67959    -62.284325  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.64184    -62.279164  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   0.60408    -62.274164  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.56633    -62.269349  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.52857    -62.264765  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.49082    -62.260432  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.45306    -62.256380  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.41531    -62.252634  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.37755    -62.249205  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.33980    -62.246112  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.30204    -62.243358  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.26429    -62.240957  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.22653    -62.238909  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.18878    -62.237209  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.15102    -62.235849  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.11327    -62.234820  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.07551    -62.234108  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.03776    -62.233707  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.00000    -62.233581  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
 
# Band-Index:    3
   0.00000    -62.233548  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.03776    -62.233673  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.07551    -62.234036  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.11327    -62.234597  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.15102    -62.235325  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
